hovedtype_rute;Midt-Norge;Nord-Norge;SÃ¸rlandet;Vestlandet;Ãstlandet
;87;237;59;99;48
F;2;5;1;4;NA
F1;NA;NA;NA;1;NA
F4;NA;1;1;NA;1
F5;NA;1;NA;NA;NA
F8;2;NA;NA;2;NA
I1;1;15;NA;110;10
L;2;3;2;2;2
L16;NA;NA;1;NA;NA
L4;NA;8;1;NA;3
O2;1;1;NA;NA;NA
T;NA;NA;5;NA;NA
T1;57;291;62;226;43
T12;2;3;NA;NA;NA
T13;30;76;15;58;44
T14;24;114;30;27;53
T16;3;19;NA;4;NA
T17;1;NA;NA;1;NA
T18;NA;11;NA;NA;NA
T19;2;26;NA;NA;NA
T2;66;52;43;132;14
T20;NA;3;NA;NA;NA
T21;NA;1;NA;NA;NA
T22;16;57;5;1;21
T24;NA;NA;NA;1;NA
T25;NA;NA;NA;3;NA
T26;1;20;NA;18;NA
T27;38;366;7;52;95
T29;NA;4;NA;NA;NA
T3;464;1556;91;403;571
T30;3;2;2;NA;3
T31;77;127;14;26;126
T32;32;82;11;51;34
T33;1;NA;NA;NA;NA
T34;20;5;NA;42;NA
T35;43;38;24;7;47
T36;13;9;5;2;17
T37;6;7;1;6;9
T38;25;13;14;30;15
T39;7;3;11;6;15
T4;1126;1333;762;476;1778
T40;8;NA;3;NA;7
T41;12;3;4;12;10
T42;1;NA;1;1;NA
T43;10;1;5;10;20
T44;19;7;13;25;56
T45;58;29;6;31;27
T5;NA;NA;NA;1;NA
T6;7;2;NA;NA;NA
T7;62;313;40;138;35
V;NA;NA;NA;NA;1
V1;575;640;158;190;416
V10;1;1;2;2;2
V11;1;2;NA;NA;NA
V12;18;3;5;1;4
V13;1;NA;NA;NA;NA
V2;53;67;32;16;80
V3;112;95;1;5;45
V4;9;8;2;NA;1
V6;9;23;1;16;NA
V8;1;NA;1;NA;1
V9;1;5;4;7;11
ikk;22;30;9;49;16
NA;11;64;23;24;13
