"";"M020_kode3";"kartleggingsenhet_250m2";"Norge_area"
"1";"F";"F";200
"2";"F1-C-1";"F1-C-1";250
"3";"F8-C-1";"F8-C-1";100
"4";"I1";"I1";27140
"5";"I1-C-1";"I1-C-1";6100
"6";"L";"L";125
"7";"L16-C-3";"L16-C-3";100
"8";"L4-1";"L4-1";845
"9";"L4-C-1";"L4-C-1";175
"10";"L4-C-2";"L4-C-2";250
"11";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01";"T1-C-1";28820
"12";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01";"T1-C-11";2565
"13";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01";"T1-C-2";29270
"14";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01";"T1-C-3";2555
"15";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01";"T1-C-4";7180
"16";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01/02";"T1-C-5";5112,5
"17";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01/02";"T1-C-6";1750
"18";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01/03";"T1-C-8";662,5
"19";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-01";"T2-C-1";37900
"20";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-01";"T2-C-2";3400
"21";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-02";"T2-C-3";1112,5
"22";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-01";"T3-C-1";78247,5
"23";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-02";"T3-C-13";10575
"24";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-02";"T3-C-4";29077,5
"25";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-03";"T3-C-10";1000
"26";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-03";"T3-C-14";9242,5
"27";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-04";"T3-C-2";288585
"28";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-04";"T3-C-3";59217,5
"29";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-05";"T3-C-5";38527,5
"30";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-05";"T3-C-6";12517,5
"31";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-06";"T3-C-11";4570
"32";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-06";"T3-C-12";2407,5
"33";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-01/02";"T22-C-1";8860
"34";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-01/02";"T22-C-2";2025
"35";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-03";"T22-C-3";4670
"36";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-03";"T22-C-4";2290
"37";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-01";"T4-C-1";411482,5
"38";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-01";"T4-C-5";309432,5
"39";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-01/02/05";"T4-C-10";1622,5
"40";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-01/04";"T4-C-9";81460
