"";"M020_kode3";"Norge_area";"Mellom_nordboreal";"Alpin";"Nemoral_soerboreal";"O3_O3t";"OC_O2";"C1";"Mellom_nordboreal_O3_O3t";"Mellom_nordboreal_OC_O2";"Alpin_OC_O2";"Nemoral_soerboreal_O3_O3t";"Alpin_C1";"Mellom_nordboreal_C1";"Nemoral_soerboreal_OC_O2";"Alpin_O3_O3t";"Nemoral_soerboreal_C1"
"1";"F";200;200;NA;NA;100;100;NA;100;100;NA;NA;NA;NA;NA;NA;NA
"2";"F1-C-1";250;NA;250;NA;NA;250;NA;NA;NA;250;NA;NA;NA;NA;NA;NA
"3";"F8-C-1";100;100;NA;NA;NA;100;NA;NA;100;NA;NA;NA;NA;NA;NA;NA
"4";"I1";27140;4250;22890;NA;NA;27140;NA;NA;4250;22890;NA;NA;NA;NA;NA;NA
"5";"I1-C-1";6100;250;5600;250;250;5850;NA;NA;250;5600;250;NA;NA;NA;NA;NA
"6";"L";125;NA;NA;125;125;NA;NA;NA;NA;NA;125;NA;NA;NA;NA;NA
"7";"L16-C-3";100;NA;100;NA;NA;100;NA;NA;NA;100;NA;NA;NA;NA;NA;NA
"8";"L4-1";845;520;325;NA;NA;175;670;NA;NA;175;NA;150;520;NA;NA;NA
"9";"L4-C-1";175;175;NA;NA;NA;175;NA;NA;175;NA;NA;NA;NA;NA;NA;NA
"10";"L4-C-2";250;250;NA;NA;NA;250;NA;NA;250;NA;NA;NA;NA;NA;NA;NA
"11";"NiN-3.0-T-C-PE-NA-MB--M020-";6125;3362,5;NA;2762,5;587,5;5537,5;NA;NA;3362,5;NA;587,5;NA;NA;2175;NA;NA
"12";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01";71058,75;24093,75;37277,5;9687,5;9243,75;61715;100;1142,5;22851,25;34401,25;5225;NA;100;4462,5;2876,25;NA
"13";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-02";668,75;468,75;200;NA;81,25;587,5;NA;NA;468,75;118,75;NA;NA;NA;NA;81,25;NA
"14";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-03";5234,375;171,875;4962,5;100;NA;5234,375;NA;NA;171,875;4962,5;NA;NA;NA;100;NA;NA
"15";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-04";1871,875;596,875;1275;NA;NA;1421,875;450;NA;396,875;1025;NA;250;200;NA;NA;NA
"16";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-05";121,875;59,375;62,5;NA;NA;121,875;NA;NA;59,375;62,5;NA;NA;NA;NA;NA;NA
"17";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-06";784,375;271,875;512,5;NA;NA;784,375;NA;NA;271,875;512,5;NA;NA;NA;NA;NA;NA
"18";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-08";225;NA;225;NA;NA;225;NA;NA;NA;225;NA;NA;NA;NA;NA;NA
"19";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-01";41300;15790;6650;18860;15067,5;24982,5;1250;312,5;14227,5;662,5;8767,5;NA;1250;10092,5;5987,5;NA
"20";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-02";1150;900;250;NA;425;725;NA;425;475;250;NA;NA;NA;NA;NA;NA
"21";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-03";112,5;112,5;NA;NA;NA;112,5;NA;NA;112,5;NA;NA;NA;NA;NA;NA;NA
"22";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-01";78247,5;36302,5;35145;6800;9712,5;61480;7055;3057,5;28235;29662,5;3217,5;2045;5010;3582,5;3437,5;NA
"23";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-02";42303,125;17373,75;24466,875;462,5;1350;37345;3608,125;375;14548,75;22558,75;225;1158,125;2450;237,5;750;NA
"24";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-03";18194,375;6011,25;12183,125;NA;NA;16022,5;2171,875;NA;5511,25;10511,25;NA;1671,875;500;NA;NA;NA
"25";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-04";347802,5;145760;189477,5;12565;13422,5;285950;48430;1282,5;116240;165327,5;8182,5;20192,5;28237,5;4382,5;3957,5;NA
"26";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-05";56795;13075;43295;425;250;53061,875;3483,125;NA;12685,625;40201,25;250;3093,75;389,375;175;NA;NA
"27";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-06";24227,5;6287,5;17940;NA;NA;21953,125;2274,375;NA;6184,375;15768,75;NA;2171,25;103,125;NA;NA;NA
"28";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-01";5442,5;193,75;5248,75;NA;NA;5186,25;256,25;NA;193,75;4992,5;NA;256,25;NA;NA;NA;NA
"29";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-02";5442,5;193,75;5248,75;NA;NA;5186,25;256,25;NA;193,75;4992,5;NA;256,25;NA;NA;NA;NA
"30";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-03";6960;130;6830;NA;NA;6795;165;NA;130;6665;NA;165;NA;NA;NA;NA
