"";"M020_kode3";"Norge_area";"Lavalpin sone (LA)";"Mellom_Nordbor";"Boreonem_sørbor";"Over_svakt_klart (OC-O1_O2)";"Sterkt oseanisk seksjon (O3)";"Svakt kontinental seksjon (C1)";"Lavalpin sone (LA)_Over_svakt_klart (OC-O1_O2)";"Mellom_Nordbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Over_svakt_klart (OC-O1_O2)";"Lavalpin sone (LA)_Svakt kontinental seksjon (C1)";"Boreonem_sørbor_Over_svakt_klart (OC-O1_O2)";"Boreonem_sørbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Svakt kontinental seksjon (C1)"
"1";"F";200;100;100;NA;100;100;NA;100;100;NA;NA;NA;NA;NA
"2";"F1-C-1";250;250;NA;NA;250;NA;NA;250;NA;NA;NA;NA;NA;NA
"3";"F8-C-1";100;100;NA;NA;100;NA;NA;100;NA;NA;NA;NA;NA;NA
"4";"I1";27140;26900;240;NA;27140;NA;NA;26900;NA;240;NA;NA;NA;NA
"5";"I1-C-1";6100;5350;750;NA;5850;250;NA;5350;250;500;NA;NA;NA;NA
"6";"L";125;NA;125;NA;NA;125;NA;NA;125;NA;NA;NA;NA;NA
"7";"L16-C-3";100;NA;100;NA;100;NA;NA;NA;NA;100;NA;NA;NA;NA
"8";"L4-1";845;845;NA;NA;175;NA;670;175;NA;NA;670;NA;NA;NA
"9";"L4-C-1";175;NA;175;NA;175;NA;NA;NA;NA;175;NA;NA;NA;NA
"10";"L4-C-2";250;NA;250;NA;250;NA;NA;NA;NA;250;NA;NA;NA;NA
"11";"NiN-3.0-T-C-PE-NA-MB--M020-";6125;NA;1612,5;4512,5;6125;NA;NA;NA;NA;1612,5;NA;4512,5;NA;NA
"12";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01";71058,75;16042,5;44018,75;10997,5;58682,5;12046,25;330;16042,5;6793,75;36895;NA;5745;5252,5;330
"13";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-02";668,75;NA;668,75;NA;550;118,75;NA;NA;118,75;550;NA;NA;NA;NA
"14";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-03";5234,375;2812,5;2321,875;100;5234,375;NA;NA;2812,5;NA;2321,875;NA;100;NA;NA
"15";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-04";1871,875;650;1221,875;NA;1871,875;NA;NA;650;NA;1221,875;NA;NA;NA;NA
"16";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-05";121,875;62,5;59,375;NA;121,875;NA;NA;62,5;NA;59,375;NA;NA;NA;NA
"17";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-06";784,375;62,5;721,875;NA;784,375;NA;NA;62,5;NA;721,875;NA;NA;NA;NA
"18";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-08";225;125;100;NA;225;NA;NA;125;NA;100;NA;NA;NA;NA
"19";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-01";41300;1250;15075;24975;23060;16015;2225;NA;5747,5;8352,5;1250;14707,5;10267,5;975
"20";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-02";1150;NA;725;425;562,5;587,5;NA;NA;162,5;562,5;NA;NA;425;NA
"21";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-03";112,5;NA;112,5;NA;112,5;NA;NA;NA;NA;112,5;NA;NA;NA;NA
"22";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-01";78247,5;21405;49162,5;7680;56205;13815;8227,5;14710;9322,5;38307,5;6695;3187,5;4492,5;1532,5
"23";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-02";42303,125;24445,625;17632,5;225;35041,875;2300;4961,25;19859,375;2300;14957,5;4586,25;225;NA;375
"24";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-03";18194,375;10426,875;7767,5;NA;16430,625;NA;1763,75;8850,625;NA;7580;1576,25;NA;NA;187,5
"25";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-04";347802,5;166097,5;168252,5;13452,5;251142,5;16052,5;80607,5;91937,5;10662,5;151142,5;74160;8062,5;5390;6447,5
"26";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-05";56795;39284,375;17085,625;425;50535,625;287,5;5971,875;33650;287,5;16460,625;5634,375;425;NA;337,5
"27";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-06";24227,5;16643,125;7584,375;NA;21019,375;112,5;3095,625;13547,5;112,5;7471,875;3095,625;NA;NA;NA
"28";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-01";5442,5;5236,25;206,25;NA;3790;NA;1652,5;3583,75;NA;206,25;1652,5;NA;NA;NA
"29";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-02";5442,5;5236,25;206,25;NA;3790;NA;1652,5;3583,75;NA;206,25;1652,5;NA;NA;NA
"30";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-03";6960;6830;130;NA;6960;NA;NA;6830;NA;130;NA;NA;NA;NA
"31";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-01";720915;36702,5;434867,5;249345;632135;36060;52720;8252,5;7175;403422,5;28450;220460;28885;24270
"32";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-02";180822,5;5548,75;121506,25;53767,5;168910;8950;2962,5;4123,75;4675;115293,75;1425;49492,5;4275;1537,5
"33";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-03";83757,5;6161,25;58468,75;19127,5;81825;NA;1932,5;5436,25;NA;57261,25;725;19127,5;NA;1207,5
"34";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-04";99277,5;24777,5;49840;24660;62707,5;437,5;36132,5;175;NA;38310;24602,5;24222,5;437,5;11530
"35";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-05";2222,5;NA;1595;627,5;2072,5;NA;150;NA;NA;1445;NA;627,5;NA;150
"36";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-06";150;NA;NA;150;150;NA;NA;NA;NA;NA;NA;150;NA;NA
"37";"NiN-3.0-T-C-PE-NA-MB-TC01-M020-01";295;NA;NA;295;295;NA;NA;NA;NA;NA;NA;295;NA;NA
"38";"NiN-3.0-T-C-PE-NA-MB-TC02-M020-04";250;NA;250;NA;250;NA;NA;NA;NA;250;NA;NA;NA;NA
"39";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-04";220;NA;220;NA;220;NA;NA;NA;NA;220;NA;NA;NA;NA
"40";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-09";43,75;NA;43,75;NA;43,75;NA;NA;NA;NA;43,75;NA;NA;NA;NA
"41";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-11";43,75;NA;43,75;NA;43,75;NA;NA;NA;NA;43,75;NA;NA;NA;NA
"42";"NiN-3.0-T-C-PE-NA-MB-TC05-M020-01";587,5;NA;362,5;225;587,5;NA;NA;NA;NA;362,5;NA;225;NA;NA
"43";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-01";45268,75;30602,5;14251,25;415;42431,25;1637,5;1200;29402,5;1525;12726,25;1200;302,5;112,5;NA
"44";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-02";36611,25;26805;9581,25;225;33480;1212,5;1918,75;24886,25;1212,5;8368,75;1918,75;225;NA;NA
"45";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-03";9752,5;8197,5;1555;NA;9046,25;NA;706,25;7491,25;NA;1555;706,25;NA;NA;NA
"46";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-04";5087,5;4187,5;900;NA;4862,5;225;NA;4187,5;225;675;NA;NA;NA;NA
"47";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-05";937,5;937,5;NA;NA;937,5;NA;NA;937,5;NA;NA;NA;NA;NA;NA
"48";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-01";425;425;NA;NA;425;NA;NA;425;NA;NA;NA;NA;NA;NA
"49";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-02";187,5;187,5;NA;NA;187,5;NA;NA;187,5;NA;NA;NA;NA;NA;NA
"50";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-03";62,5;62,5;NA;NA;62,5;NA;NA;62,5;NA;NA;NA;NA;NA;NA
"51";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-04";8501,25;5062,5;2996,25;442,5;7771,25;730;NA;5062,5;662,5;2333,75;NA;375;67,5;NA
"52";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-05";5488,05;1501,5;3569,175;417,375;5330,55;157,5;NA;1501,5;NA;3569,175;NA;259,875;157,5;NA
"53";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-06";1391,95;361;951,45;79,5;1361,95;30;NA;361;NA;951,45;NA;49,5;30;NA
"54";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-07";21676,25;11080;8796,25;1800;18913,75;2762,5;NA;11080;2212,5;6583,75;NA;1250;550;NA
"55";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-08";583,2;186;317,7;79,5;553,2;30;NA;186;NA;317,7;NA;49,5;30;NA
"56";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-09";194,4;62;105,9;26,5;184,4;10;NA;62;NA;105,9;NA;16,5;10;NA
"57";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-01";1116,75;239,25;627,5;250;989,25;127,5;NA;239,25;127,5;500;NA;250;NA;NA
"58";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-02";2901,75;489,25;2412,5;NA;2489,25;412,5;NA;489,25;412,5;2000;NA;NA;NA;NA
"59";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-03";1514,25;439,25;1075;NA;1276,75;237,5;NA;439,25;237,5;837,5;NA;NA;NA;NA
"60";"NiN-3.0-T-C-PE-NA-MB-TD04-M020-01";125;125;NA;NA;125;NA;NA;125;NA;NA;NA;NA;NA;NA
"61";"NiN-3.0-T-C-PE-NA-MB-TD04-M020-03";125;125;NA;NA;125;NA;NA;125;NA;NA;NA;NA;NA;NA
"62";"NiN-3.0-T-C-PE-NA-MB-TD06-M020-01";30566,825;19046,425;11018,25;502,15;26997,825;1608,125;1960,875;17241,175;1608,125;9254,5;1805,25;502,15;NA;155,625
"63";"NiN-3.0-T-C-PE-NA-MB-TD06-M020-02";7003,175;4356,075;2544,25;102,85;6272,175;329,375;401,625;3986,325;329,375;2183;369,75;102,85;NA;31,875
"64";"NiN-3.0-T-C-PE-NA-MB-TD06-M020-03";2227,5;1365;862,5;NA;2227,5;NA;NA;1365;NA;862,5;NA;NA;NA;NA
"65";"NiN-3.0-T-C-PE-NA-MB-TE01-M020-02";175;NA;175;NA;175;NA;NA;NA;NA;175;NA;NA;NA;NA
"66";"NiN-3.0-T-C-PE-NA-MB-TE02-M020-02";75;NA;NA;75;NA;75;NA;NA;NA;NA;NA;NA;75;NA
"67";"NiN-3.0-T-C-PE-NA-MB-TE02-M020-03";75;NA;NA;75;NA;75;NA;NA;NA;NA;NA;NA;75;NA
"68";"NiN-3.0-T-C-PE-NA-MB-TE03-M020-01";633,75;306,25;327,5;NA;530;NA;103,75;306,25;NA;223,75;NA;NA;NA;103,75
"69";"NiN-3.0-T-C-PE-NA-MB-TE04-M020-01";225;225;NA;NA;225;NA;NA;225;NA;NA;NA;NA;NA;NA
"70";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-01";3735;3496,375;114,125;124,5;3496,375;NA;238,625;3371,875;NA;NA;124,5;124,5;NA;114,125
"71";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-02";821,25;772,375;23,375;25,5;772,375;NA;48,875;746,875;NA;NA;25,5;25,5;NA;23,375
"72";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-03";168,75;168,75;NA;NA;168,75;NA;NA;168,75;NA;NA;NA;NA;NA;NA
"73";"NiN-3.0-T-C-PE-NA-MB-TE08-M020-01";633,75;306,25;327,5;NA;530;NA;103,75;306,25;NA;223,75;NA;NA;NA;103,75
"74";"NiN-3.0-T-C-PE-NA-MB-TE09-M020-01";300;300;NA;NA;NA;NA;300;NA;NA;NA;300;NA;NA;NA
"75";"NiN-3.0-T-C-PE-NA-MB-TE09-M020-02";200;200;NA;NA;NA;NA;200;NA;NA;NA;200;NA;NA;NA
"76";"NiN-3.0-T-C-PE-NA-MB-TF01-M020-02";362,5;NA;362,5;NA;362,5;NA;NA;NA;NA;362,5;NA;NA;NA;NA
"77";"NiN-3.0-T-C-PE-NA-MB-TF02-M020-01";1762,5;NA;1187,5;575;1762,5;NA;NA;NA;NA;1187,5;NA;575;NA;NA
"78";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-06";17653,875;14802,875;2851;NA;17060,125;200;393,75;14409,125;200;2651;393,75;NA;NA;NA
"79";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-07";1882,375;1808,375;74;NA;1882,375;NA;NA;1808,375;NA;74;NA;NA;NA;NA
"80";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-08";94226,25;72963,75;20875;387,5;91282,5;925;2018,75;71170;925;19725;1793,75;387,5;NA;225
"81";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-10";181,25;NA;181,25;NA;181,25;NA;NA;NA;NA;181,25;NA;NA;NA;NA
"82";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-11";181,25;NA;181,25;NA;181,25;NA;NA;NA;NA;181,25;NA;NA;NA;NA
"83";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-12";9295;9070;225;NA;9295;NA;NA;9070;NA;225;NA;NA;NA;NA
"84";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-15";512,5;NA;512,5;NA;512,5;NA;NA;NA;NA;512,5;NA;NA;NA;NA
"85";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-17";145;NA;145;NA;145;NA;NA;NA;NA;145;NA;NA;NA;NA
"86";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-01";15515;200;13790;1525;14302,5;1212,5;NA;200;1087,5;12702,5;NA;1400;125;NA
"87";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-02";7795;156,25;7438,75;200;7547,5;247,5;NA;156,25;247,5;7191,25;NA;200;NA;NA
"88";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-03";1762,5;56,25;1706,25;NA;1762,5;NA;NA;56,25;NA;1706,25;NA;NA;NA;NA
"89";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-04";44542,5;2490;35585;6467,5;41665;2652,5;225;2265;2477,5;33107,5;225;6292,5;175;NA
"90";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-05";5407,5;NA;5007,5;400;5407,5;NA;NA;NA;NA;5007,5;NA;400;NA;NA
"91";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-06";187,5;NA;187,5;NA;187,5;NA;NA;NA;NA;187,5;NA;NA;NA;NA
"92";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-01";5292,5;125;3208,75;1958,75;2952,5;2171,25;168,75;125;840;2200;NA;627,5;1331,25;168,75
"93";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-02";7301,25;462,5;5075;1763,75;6060,625;1240,625;NA;462,5;284,375;4790,625;NA;807,5;956,25;NA
"94";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-03";925;175;718,75;31,25;878,125;46,875;NA;175;46,875;671,875;NA;31,25;NA;NA
