"";"M020_kode3";"Norge_area";"Lavalpin sone (LA)";"Mellom_Nordbor";"Boreonem_sørbor";"Over_svakt_klart (OC-O1_O2)";"Sterkt oseanisk seksjon (O3)";"Svakt kontinental seksjon (C1)";"Lavalpin sone (LA)_Over_svakt_klart (OC-O1_O2)";"Mellom_Nordbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Over_svakt_klart (OC-O1_O2)";"Lavalpin sone (LA)_Svakt kontinental seksjon (C1)";"Boreonem_sørbor_Over_svakt_klart (OC-O1_O2)";"Boreonem_sørbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Svakt kontinental seksjon (C1)"
"1";"F";200;100;100;NA;100;100;NA;100;100;NA;NA;NA;NA;NA
"2";"F1-C-1";250;250;NA;NA;250;NA;NA;250;NA;NA;NA;NA;NA;NA
"3";"F8-C-1";100;100;NA;NA;100;NA;NA;100;NA;NA;NA;NA;NA;NA
"4";"I1";27140;26900;240;NA;27140;NA;NA;26900;NA;240;NA;NA;NA;NA
"5";"I1-C-1";6100;5350;750;NA;5850;250;NA;5350;250;500;NA;NA;NA;NA
"6";"L";125;NA;125;NA;NA;125;NA;NA;125;NA;NA;NA;NA;NA
"7";"L16-C-3";100;NA;100;NA;100;NA;NA;NA;NA;100;NA;NA;NA;NA
"8";"L4-1";845;845;NA;NA;175;NA;670;175;NA;NA;670;NA;NA;NA
"9";"L4-C-1";175;NA;175;NA;175;NA;NA;NA;NA;175;NA;NA;NA;NA
"10";"L4-C-2";250;NA;250;NA;250;NA;NA;NA;NA;250;NA;NA;NA;NA
"11";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01";70390;16042,5;43350;10997,5;58132,5;11927,5;330;16042,5;6675;36345;NA;5745;5252,5;330
"12";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01/02";6862,5;3337,5;3425;100;6862,5;NA;NA;3337,5;NA;3425;NA;100;NA;NA
"13";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01/03";662,5;NA;662,5;NA;662,5;NA;NA;NA;NA;662,5;NA;NA;NA;NA
"14";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-01";41300;1250;15075;24975;23060;16015;2225;NA;5747,5;8352,5;1250;14707,5;10267,5;975
"15";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-02";1112,5;NA;687,5;425;525;587,5;NA;NA;162,5;525;NA;NA;425;NA
"16";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-01";78247,5;21405;49162,5;7680;56205;13815;8227,5;14710;9322,5;38307,5;6695;3187,5;4492,5;1532,5
"17";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-02";39652,5;22695;16732,5;225;32750;2300;4602,5;18467,5;2300;14057,5;4227,5;225;NA;375
"18";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-03";10242,5;5175;5067,5;NA;9555;NA;687,5;4675;NA;4880;500;NA;NA;187,5
"19";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-04";347802,5;166097,5;168252,5;13452,5;251142,5;16052,5;80607,5;91937,5;10662,5;151142,5;74160;8062,5;5390;6447,5
"20";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-05";51045;35115;15505;425;45425;250;5370;30082,5;250;14917,5;5032,5;425;NA;337,5
"21";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-06";6977,5;4135;2842,5;NA;5687,5;NA;1290;2845;NA;2842,5;1290;NA;NA;NA
"22";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-01/02";10885;10472,5;412,5;NA;7580;NA;3305;7167,5;NA;412,5;3305;NA;NA;NA
"23";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-03";6960;6830;130;NA;6960;NA;NA;6830;NA;130;NA;NA;NA;NA
"24";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-01";720915;36702,5;434867,5;249345;632135;36060;52720;8252,5;7175;403422,5;28450;220460;28885;24270
"25";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-01/02/05";1622,5;NA;1245;377,5;1472,5;NA;150;NA;NA;1095;NA;377,5;NA;150
"26";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-01/04";81460;20992,5;39952,5;20515;48962,5;437,5;32060;175;NA;28710;20817,5;20077,5;437,5;11242,5
"27";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-02";177477,5;5442,5;120450;51585;165565;8950;2962,5;4017,5;4675;114237,5;1425;47310;4275;1537,5
"28";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-03";46890;5442,5;35852,5;5595;45457,5;NA;1432,5;5217,5;NA;34645;225;5595;NA;1207,5
"29";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-04";17817,5;3785;9887,5;4145;13745;NA;4072,5;NA;NA;9600;3785;4145;NA;287,5
"30";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-05";600;NA;350;250;600;NA;NA;NA;NA;350;NA;250;NA;NA
"31";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-06";150;NA;NA;150;150;NA;NA;NA;NA;NA;NA;150;NA;NA
"32";"NiN-3.0-T-C-PE-NA-MB-TC01-M020-01";295;NA;NA;295;295;NA;NA;NA;NA;NA;NA;295;NA;NA
"33";"NiN-3.0-T-C-PE-NA-MB-TC02-M020-04";250;NA;250;NA;250;NA;NA;NA;NA;250;NA;NA;NA;NA
"34";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-04/05";220;NA;220;NA;220;NA;NA;NA;NA;220;NA;NA;NA;NA
"35";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-04/05/09";87,5;NA;87,5;NA;87,5;NA;NA;NA;NA;87,5;NA;NA;NA;NA
"36";"NiN-3.0-T-C-PE-NA-MB-TC05-M020-01";487,5;NA;262,5;225;487,5;NA;NA;NA;NA;262,5;NA;225;NA;NA
"37";"NiN-3.0-T-C-PE-NA-MB-TC05-M020-01/03";100;NA;100;NA;100;NA;NA;NA;NA;100;NA;NA;NA;NA
"38";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-01";32430;20835;11180;415;30617,5;912,5;900;19935;800;10380;900;302,5;112,5;NA
"39";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-01/02";25677,5;19535;6142,5;NA;23627,5;1450;600;18935;1450;4692,5;600;NA;NA;NA
"40";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-02";17657,5;11465;5967,5;225;16257,5;487,5;912,5;10552,5;487,5;5480;912,5;225;NA;NA
"41";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-03";3637,5;2625;1012,5;NA;3637,5;NA;NA;2625;NA;1012,5;NA;NA;NA;NA
"42";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-04";4262,5;3362,5;900;NA;4037,5;225;NA;3362,5;225;675;NA;NA;NA;NA
"43";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-05";937,5;937,5;NA;NA;937,5;NA;NA;937,5;NA;NA;NA;NA;NA;NA
"44";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-01/04";425;425;NA;NA;425;NA;NA;425;NA;NA;NA;NA;NA;NA
"45";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-02/05";250;250;NA;NA;250;NA;NA;250;NA;NA;NA;NA;NA;NA
"46";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-04";1675;1050;625;NA;1475;200;NA;1050;200;425;NA;NA;NA;NA
"47";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-05";350;250;100;NA;350;NA;NA;250;NA;100;NA;NA;NA;NA
"48";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-06";250;NA;250;NA;250;NA;NA;NA;NA;250;NA;NA;NA;NA
"49";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-07";21520;11080;8640;1800;18807,5;2712,5;NA;11080;2162,5;6477,5;NA;1250;550;NA
"50";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-07/08";6982,5;4012,5;2527,5;442,5;6402,5;580;NA;4012,5;512,5;2015;NA;375;67,5;NA
"51";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-08";7495;2000;4832,5;662,5;7245;250;NA;2000;NA;4832,5;NA;412,5;250;NA
"52";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-01";877,5;NA;627,5;250;750;127,5;NA;NA;127,5;500;NA;250;NA;NA
"53";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-02";2662,5;250;2412,5;NA;2250;412,5;NA;250;412,5;2000;NA;NA;NA;NA
"54";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-03";1275;200;1075;NA;1037,5;237,5;NA;200;237,5;837,5;NA;NA;NA;NA
"55";"NiN-3.0-T-C-PE-NA-MB-TD04-M020-01/03";250;250;NA;NA;250;NA;NA;250;NA;NA;NA;NA;NA;NA
"56";"NiN-3.0-T-C-PE-NA-MB-TD06-M020-01/02";36827,5;22947,5;13275;605;32527,5;1937,5;2362,5;20772,5;1937,5;11150;2175;605;NA;187,5
"57";"NiN-3.0-T-C-PE-NA-MB-TD06-M020-03";2970;1820;1150;NA;2970;NA;NA;1820;NA;1150;NA;NA;NA;NA
"58";"NiN-3.0-T-C-PE-NA-MB-TE01-M020-02/04";175;NA;175;NA;175;NA;NA;NA;NA;175;NA;NA;NA;NA
"59";"NiN-3.0-T-C-PE-NA-MB-TE02-M020-01/02";150;NA;NA;150;NA;150;NA;NA;NA;NA;NA;NA;150;NA
"60";"NiN-3.0-T-C-PE-NA-MB-TE03-M020-01/02";1267,5;612,5;655;NA;1060;NA;207,5;612,5;NA;447,5;NA;NA;NA;207,5
"61";"NiN-3.0-T-C-PE-NA-MB-TE04-M020-01";225;225;NA;NA;225;NA;NA;225;NA;NA;NA;NA;NA;NA
"62";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-01/02";4500;4212,5;137,5;150;4212,5;NA;287,5;4062,5;NA;NA;150;150;NA;137,5
"63";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-02/03";225;225;NA;NA;225;NA;NA;225;NA;NA;NA;NA;NA;NA
"64";"NiN-3.0-T-C-PE-NA-MB-TE09-M020-01/02";500;500;NA;NA;NA;NA;500;NA;NA;NA;500;NA;NA;NA
"65";"NiN-3.0-T-C-PE-NA-MB-TF01-M020-02";362,5;NA;362,5;NA;362,5;NA;NA;NA;NA;362,5;NA;NA;NA;NA
"66";"NiN-3.0-T-C-PE-NA-MB-TF02-M020-01";1762,5;NA;1187,5;575;1762,5;NA;NA;NA;NA;1187,5;NA;575;NA;NA
"67";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-04/05/10/11";362,5;NA;362,5;NA;362,5;NA;NA;NA;NA;362,5;NA;NA;NA;NA
"68";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-06/08";33985;28335;5650;NA;32797,5;400;787,5;27547,5;400;5250;787,5;NA;NA;NA
"69";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-07/08";5087,5;4887,5;200;NA;5087,5;NA;NA;4887,5;NA;200;NA;NA;NA;NA
"70";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-08";74690;56352,5;17950;387,5;72340;725;1625;54952,5;725;17000;1400;387,5;NA;225
"71";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-12";9295;9070;225;NA;9295;NA;NA;9070;NA;225;NA;NA;NA;NA
"72";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-01";15515;200;13790;1525;14302,5;1212,5;NA;200;1087,5;12702,5;NA;1400;125;NA
"73";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-02";6432,5;100;6132,5;200;6185;247,5;NA;100;247,5;5885;NA;200;NA;NA
"74";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-03";400;NA;400;NA;400;NA;NA;NA;NA;400;NA;NA;NA;NA
"75";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-04";44542,5;2490;35585;6467,5;41665;2652,5;225;2265;2477,5;33107,5;225;6292,5;175;NA
"76";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-05";5220;NA;4820;400;5220;NA;NA;NA;NA;4820;NA;400;NA;NA
"77";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-01/04";6080;NA;2662,5;3417,5;3242,5;2662,5;175;NA;NA;2487,5;NA;755;2662,5;175
"78";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-02/03/05/06";3700;700;2875;125;3512,5;187,5;NA;700;187,5;2687,5;NA;125;NA;NA
"79";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-02/05";12752,5;575;8712,5;3465;10365;2387,5;NA;575;475;8237,5;NA;1552,5;1912,5;NA
"80";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-04";2012,5;NA;1087,5;925;1087,5;925;NA;NA;250;837,5;NA;250;675;NA
"81";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-05";11432,5;137,5;8550;2745;7150;4282,5;NA;137,5;1950;6600;NA;412,5;2332,5;NA
"82";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-05/06";2275;NA;2087,5;187,5;2275;NA;NA;NA;NA;2087,5;NA;187,5;NA;NA
"83";"NiN-3.0-T-C-PE-NA-MB-TK03-M020-01";8085;NA;750;7335;8085;NA;NA;NA;NA;750;NA;7335;NA;NA
"84";"NiN-3.0-T-C-PE-NA-MB-TK03-M020-02";612,5;NA;250;362,5;112,5;500;NA;NA;250;NA;NA;112,5;250;NA
"85";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-01";305313,75;47925;189067,5;68321,25;239533,75;18482,5;47297,5;14082,5;6170;169442,5;33842,5;56008,75;12312,5;13455
"86";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-02";34355;10432,5;22905;1017,5;28632,5;175;5547,5;5485;175;22130;4947,5;1017,5;NA;600
"87";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-03";1852,5;890;762,5;200;962,5;NA;890;NA;NA;762,5;890;200;NA;NA
"88";"NiN-3.0-T-C-PE-NA-MB-VB01-M020-01";43580;2075;29110;12395;34800;1200;7580;250;275;23080;1825;11470;925;5755
"89";"NiN-3.0-T-C-PE-NA-MB-VB01-M020-02";2435;445;1715;275;1990;NA;445;NA;NA;1715;445;275;NA;NA
"90";"NiN-3.0-T-C-PE-NA-MB-VC01-M020-01";20470;NA;9965;10505;19175;500;795;NA;NA;9170;NA;10005;500;795
"91";"NiN-3.0-T-C-PE-NA-MB-VC02-M020-01";137,5;NA;137,5;NA;137,5;NA;NA;NA;NA;137,5;NA;NA;NA;NA
"92";"NiN-3.0-T-C-PE-NA-MB-VC03-M020-01";987,5;112,5;875;NA;800;187,5;NA;112,5;187,5;687,5;NA;NA;NA;NA
"93";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-01";2530;1255;1275;NA;2162,5;125;242,5;1012,5;125;1150;242,5;NA;NA;NA
"94";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-02";375;237,5;137,5;NA;375;NA;NA;237,5;NA;137,5;NA;NA;NA;NA
"95";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-03";625;375;250;NA;625;NA;NA;375;NA;250;NA;NA;NA;NA
"96";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-03/04";187,5;187,5;NA;NA;187,5;NA;NA;187,5;NA;NA;NA;NA;NA;NA
