"";"M020_kode3";"Norge_area";"Mellom_nordboreal";"Alpin";"Nemoral_soerboreal";"O3_O3t";"OC_O2";"C1"
"1";"F";17794144,0286969;16862114,1805706;NA;NA;8216362,45179616;8966563,80127757;NA
"2";"F1-C-1";22242680,0358711;NA;24317011,4657138;NA;NA;22416409,5031939;NA
"3";"F8-C-1";8897072,01434845;8431057,09028529;NA;NA;NA;8966563,80127757;NA
"4";"I1";2414665344,69417;358319926,337125;2226465569,80076;NA;NA;2433525415,66673;NA
"5";"I1-C-1";542721392,875255;21077642,7257132;544701056,83199;22175244,515854;20540906,1294904;524543982,374738;NA
"6";"L";11121340,0179356;NA;NA;11087622,257927;10270453,0647452;NA;NA
"7";"L16-C-3";8897072,01434845;NA;9726804,58628554;NA;NA;8966563,80127757;NA
"8";"L4-1";75180258,5212444;43841496,8694835;31612114,905428;NA;NA;15691486,6522357;58575957,8077172
"9";"L4-C-1";15569876,0251098;14754349,9079993;NA;NA;NA;15691486,6522357;NA
"10";"L4-C-2";22242680,0358711;21077642,7257132;NA;NA;NA;22416409,5031939;NA
"11";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01";6262648990,89987;1991837237,5799;3606455970,48002;859290724,989341;752824209,645823;5481036287,62595;8742680,26980854
"12";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01/02";610561566,984662;54801871,0868544;594550930,336704;8870097,80634158;NA;574980903,756924;39342061,2141384
"13";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01/03";58943102,0950585;17915996,3168562;43770620,6382849;NA;NA;59403485,1834639;NA
"14";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-01";3674490741,92591;1331263914,55605;646832504,987988;1672900446,27602;1238000412,42439;2240071801,65417;109283503,372607
"15";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-02";98979926,1596265;72717867,4037106;24317011,4657138;NA;34919540,4201337;61645126,1337833;NA
"16";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-01";6961736424,4273;3060684500,20082;3418485471,85005;603166650,831228;798014203,130702;5512643425,02545;616796093,034993
"17";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-02";3527911480,48952;1409461969,06844;2185856160,65302;41024202,3543298;110920893,099248;3136952345,87696;290038417,950898
"18";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-03";911282601,06964;340825482,874783;603061884,349703;NA;NA;801834967,929247;113654843,507511
"19";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-04";30944238892,7043;12289108814,7998;18430106159,9792;1114527789,36682;1102841250,09234;25639889189,7532;4234080054,66828
"20";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-05";4541510409,72416;976737963,90955;3796858170,25656;37697915,6769517;20540906,1294904;4270998502,64354;276487263,532695
"21";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-06";620793199,801163;153234462,615935;501903116,652334;NA;NA;507955839,342374;114747678,541237
