"";"M020_kode3";"Norge_area";"Mellom_nordboreal";"Alpin";"Nemoral_soerboreal";"O3_O3t";"OC_O2";"C1";"Mellom_nordboreal_O3_O3t";"Mellom_nordboreal_OC_O2";"Alpin_OC_O2";"Nemoral_soerboreal_O3_O3t";"Alpin_C1";"Mellom_nordboreal_C1";"Nemoral_soerboreal_OC_O2";"Alpin_O3_O3t";"Nemoral_soerboreal_C1"
"1";"F";17794144,0286969;16862114,1805706;NA;NA;8216362,45179616;8966563,80127757;NA;537631945,45509;81896396,015935;NA;NA;NA;NA;NA;NA;NA
"2";"F1-C-1";22242680,0358711;NA;24317011,4657138;NA;NA;22416409,5031939;NA;NA;NA;80911994,4342599;NA;NA;NA;NA;NA;NA
"3";"F8-C-1";8897072,01434845;8431057,09028529;NA;NA;NA;8966563,80127757;NA;NA;81896396,015935;NA;NA;NA;NA;NA;NA;NA
"4";"I1";2414665344,69417;358319926,337125;2226465569,80076;NA;NA;2433525415,66673;NA;NA;3480596830,67724;7408302210,40083;NA;NA;NA;NA;NA;NA
"5";"I1-C-1";542721392,875255;21077642,7257132;544701056,83199;22175244,515854;20540906,1294904;524543982,374738;NA;NA;204740990,039837;1812428675,32742;414974115,764632;NA;NA;NA;NA;NA
"6";"L";11121340,0179356;NA;NA;11087622,257927;10270453,0647452;NA;NA;NA;NA;NA;207487057,882316;NA;NA;NA;NA;NA
"7";"L16-C-3";8897072,01434845;NA;9726804,58628554;NA;NA;8966563,80127757;NA;NA;NA;32364797,773704;NA;NA;NA;NA;NA;NA
"8";"L4-1";75180258,5212444;43841496,8694835;31612114,905428;NA;NA;15691486,6522357;58575957,8077172;NA;NA;56638396,1039819;NA;122760060,953333;370221618,574504;NA;NA;NA
"9";"L4-C-1";15569876,0251098;14754349,9079993;NA;NA;NA;15691486,6522357;NA;NA;143318693,027886;NA;NA;NA;NA;NA;NA;NA
"10";"L4-C-2";22242680,0358711;21077642,7257132;NA;NA;NA;22416409,5031939;NA;NA;204740990,039837;NA;NA;NA;NA;NA;NA;NA
"11";"NiN-3.0-T-C-PE-NA-MB--M020-";544945660,878842;283494294,660843;NA;245036451,900186;48271129,4043025;496523470,495745;NA;NA;2753766316,03581;NA;975189172,046884;NA;NA;2888501246,13295;NA;NA
"12";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01";6322148159,99583;2031357817,69061;3625909579,65259;859290724,989341;759500004,137908;5533714849,95845;8742680,26980854;6142444976,8244;18714350194,5913;11133894994,1263;8672959019,4808;NA;71196465,1104816;5926407729,13485;4092718421,39749;NA
"13";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-02";59499169,0959553;39520580,1107123;19453609,1725711;NA;6675794,49208438;52678562,3325057;NA;NA;383889356,324695;38433197,3562734;NA;NA;NA;NA;115613514,728743;NA
"14";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-03";465706113,251052;14490879,3739278;482692677,59442;8870097,80634158;NA;469343573,973123;NA;NA;140759430,652388;1606103089,52006;NA;NA;NA;132804654,994618;NA;NA
