"";"M020_kode3";"Norge_area";"Lavalpin sone (LA)";"Mellom_Nordbor";"Boreonem_sørbor";"Over_svakt_klart (OC-O1_O2)";"Sterkt oseanisk seksjon (O3)";"Svakt kontinental seksjon (C1)";"Lavalpin sone (LA)_Over_svakt_klart (OC-O1_O2)";"Mellom_Nordbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Over_svakt_klart (OC-O1_O2)";"Lavalpin sone (LA)_Svakt kontinental seksjon (C1)";"Boreonem_sørbor_Over_svakt_klart (OC-O1_O2)";"Boreonem_sørbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Svakt kontinental seksjon (C1)"
"1";"F";19385022,755482;9081554,46086481;9526868,37341608;NA;9822211,3022113;10189473,6842105;NA;9755471,69811321;10358904,109589;NA;NA;NA;NA;NA
"2";"F1-C-1";24231278,4443525;22703886,152162;NA;NA;24555528,2555283;NA;NA;24388679,245283;NA;NA;NA;NA;NA;NA
"3";"F8-C-1";9692511,377741;9081554,46086481;NA;NA;9822211,3022113;NA;NA;9755471,69811321;NA;NA;NA;NA;NA;NA
"4";"I1";2630547587,91891;2442938149,97263;22864484,0961986;NA;2665748147,42015;NA;NA;2624221886,79245;NA;22567491,3294798;NA;NA;NA;NA
"5";"I1-C-1";591243194,042201;485863163,656267;71451512,8006206;NA;574599361,179361;25473684,2105263;NA;521917735,849057;25897260,2739726;47015606,9364162;NA;NA;NA;NA
"6";"L";12115639,2221763;NA;11908585,4667701;NA;NA;12736842,1052632;NA;NA;12948630,1369863;NA;NA;NA;NA;NA
"7";"L16-C-3";9692511,377741;NA;9526868,37341608;NA;9822211,3022113;NA;NA;NA;NA;9403121,38728324;NA;NA;NA;NA
"8";"L4-1";81901721,1419115;76739135,1943076;NA;NA;17188869,7788698;NA;55050695,6521739;17072075,4716981;NA;NA;48453545,8167331;NA;NA;NA
"9";"L4-C-1";16961894,9110468;NA;16672019,6534781;NA;17188869,7788698;NA;NA;NA;NA;16455462,4277457;NA;NA;NA;NA
"10";"L4-C-2";24231278,4443525;NA;23817170,9335402;NA;24555528,2555283;NA;NA;NA;NA;23507803,4682081;NA;NA;NA;NA
